w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,T,q0,q1,q2,q3,Vn,Ve,Vd,Pn,Pe,Pd
-6.724753358653845492e-02,1.038961281653846130e-02,2.536807068403846080e-02,-8.133367376153846084e-01,3.352730463461537913e-01,-8.583414763461538755e+00,4.031020166666666182e-01,-6.144814800000000798e-02,1.920972588888888721e-01,5.483794435714285953e+01,3.733785671428572783e+01,9.477533999999999681e-01,3.847779300000000319e-02,-2.852279500000000079e-01,1.375790699999999978e-01,5.537192300000000067e+00,3.095070000000000210e+00,-2.972320600000000201e+00,4.481918000000000291e+00,3.509824800000000078e+00,-1.036922799999999967e+01
3.089346602448980045e-02,2.891709036122449075e-02,2.682681223920408559e-02,-1.093997348040816275e+00,3.613479489795918820e-01,-8.624244179591837423e+00,4.026463475000000014e-01,-6.522704687499999987e-02,1.926623112499999957e-01,5.517833900000000114e+01,3.734000000000001762e+01,9.479180000000000383e-01,3.023440200000000050e-02,-2.853474300000000130e-01,1.382542800000000072e-01,6.269009600000000404e+00,3.383775700000000164e+00,-2.521915400000000140e+00,5.640634000000000370e+00,4.177383400000000080e+00,-1.088043500000000030e+01
6.358276721153846567e-02,8.792080092307693467e-03,7.312741542307692882e-03,-1.260063688096153545e+00,3.899795903846153267e-01,-8.653375792307691938e+00,4.014450444444444543e-01,-6.437374833333334156e-02,1.952267766666666571e-01,5.546127053846154098e+01,3.734000000000001762e+01,9.481962999999999919e-01,3.432969999999999772e-02,-2.817392000000000229e-01,1.427180799999999972e-01,6.998638999999999832e+00,3.638183800000000190e+00,-2.082641800000000210e+00,6.990827600000000253e+00,4.915822999999999610e+00,-1.129646600000000056e+01
1.691457700000000355e-02,8.319222910000000082e-03,-2.747055944680000181e-02,-1.496465053400000356e+00,4.811051406000000918e-01,-8.615182327999999501e+00,4.014450444444445099e-01,-6.144814800000000798e-02,1.945313277777777627e-01,5.588668361538460516e+01,3.733769184615385228e+01,9.479798699999999467e-01,4.049649999999999778e-02,-2.805914600000000148e-01,1.447852000000000028e-01,7.656354000000000326e+00,3.939895200000000042e+00,-1.683756500000000100e+00,8.456372999999999251e+00,5.691059000000000090e+00,-1.160795099999999991e+01
-4.314265109999998113e-03,7.116214180000001929e-03,-2.011629714519999612e-02,-1.737161654740000394e+00,2.720444222000000800e-01,-8.692501548000000966e+00,4.019007125000000347e-01,-5.974154774999999862e-02,1.977477737499999666e-01,5.652429630769229618e+01,3.734000000000001762e+01,9.485490300000000152e-01,4.257697199999999765e-02,-2.793865999999999850e-01,1.427764599999999939e-01,8.288166000000000366e+00,4.209656700000000029e+00,-1.303291200000000094e+00,1.005157849999999975e+01,6.513365699999999592e+00,-1.186596399999999996e+01
9.311437739999997576e-03,3.910183237999998417e-03,-3.943660550799999581e-02,-2.020645293439999879e+00,4.261968750000000306e-01,-8.874703892000001204e+00,4.014450466666666384e-01,-5.722228355555555174e-02,1.962699477777777590e-01,5.665316061538461412e+01,3.734000000000001762e+01,9.489756999999999776e-01,4.170179400000000036e-02,-2.792089300000000218e-01,1.405296600000000007e-01,8.882586999999999122e+00,4.466893999999999920e+00,-9.804365600000000125e-01,1.177765100000000054e+01,7.400290499999999660e+00,-1.209754850000000026e+01
-2.684482773884615536e-01,6.869335151346153343e-03,-2.908652308653846275e-01,-2.164570626369231032e+00,1.466721858846153359e-01,-8.880247884615384280e+00,4.025717839999999326e-01,-4.935567920000000219e-02,1.944617869999999971e-01,5.719923499999998739e+01,3.734000000000001762e+01,9.499063500000000104e-01,4.205881399999999992e-02,-2.789193999999999840e-01,1.345850000000000102e-01,9.474019999999999442e+00,4.727543400000000062e+00,-7.064441399999999982e-01,1.368318200000000040e+01,8.370936000000000377e+00,-1.225959800000000044e+01
-2.010370821200000435e-01,3.189333226600000841e-03,-3.004107027999999846e-01,-2.492425536039999834e+00,5.945403220000011757e-02,-8.789160938000000201e+00,4.040961999999999610e-01,-3.089191088888888770e-02,1.934881566666666608e-01,5.755821257142856240e+01,3.734000000000001762e+01,9.545420999999999490e-01,2.343162000000000023e-02,-2.812553600000000098e-01,9.589564999999999895e-02,1.003108300000000064e+01,4.887330999999999648e+00,-4.868874499999999994e-01,1.564190100000000072e+01,9.336957999999999203e+00,-1.242797400000000074e+01
-1.911794019560000002e-01,6.219808194000000373e-03,-2.696334268000000201e-01,-2.607811339199999967e+00,-1.783056026000000294e-01,-8.443062775999999658e+00,4.034334066666666052e-01,-1.463859433333333099e-02,1.896631944444444329e-01,5.776049476923076753e+01,3.734000000000001762e+01,9.573616400000000137e-01,1.272183600000000026e-02,-2.821557199999999987e-01,6.070553499999999797e-02,1.057086800000000082e+01,4.961978399999999567e+00,-2.615871399999999958e-01,1.771797400000000167e+01,1.035474499999999942e+01,-1.256401400000000024e+01
-9.447231715384615813e-02,5.951507509807692914e-02,-9.395330813461538755e-02,-2.804058851153846454e+00,-3.373674794230770435e-01,-8.786934940384613313e+00,3.994566755555555293e-01,-7.162068577777777612e-03,1.983562877777777511e-01,5.836496366666666091e+01,3.734000000000001762e+01,9.595308000000000170e-01,-1.358714800000000071e-03,-2.797365199999999885e-01,3.234872600000000126e-02,1.106814499999999946e+01,4.943519000000000219e+00,-4.022051399999999888e-02,1.997302200000000028e+01,1.141199300000000072e+01,-1.268625100000000039e+01
