timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
155418600,0.022102231,-0.030653482,0.07450891,4000,0,-0.97583747,-0.06046694,-10.978578,4000
155422599,-0.00088371686,0.031933468,0.06472003,3999,0,0.41449517,1.0112667,-9.580105,3999
155426600,0.018778266,0.0020272238,0.067211516,4001,0,0.027694544,-0.5368132,-9.685661,4001
155430600,-0.082329355,-0.0185107,0.05951179,4000,0,0.027899478,0.54994625,-9.528075,4000
155434600,0.027439289,-0.048869148,0.03684211,4000,0,-0.46410665,0.25910312,-10.246658,4000
155438600,-0.0045431047,0.028726026,0.010324471,4000,0,-0.26901892,0.5193008,-9.9619875,4000
155442600,0.010806627,0.035115823,0.0024294246,4000,0,0.47091573,0.17273371,-9.044494,4000
155446600,-0.03932808,-0.023538312,0.00056784524,4000,0,-0.38612497,-0.47098607,-10.229574,4000
155450600,-0.030953437,-0.030666003,-0.014934973,4000,0,-0.05963656,0.83355606,-9.681971,4000
155454600,0.039695825,-0.0038245,-0.026943717,4000,0,-0.95712006,0.06313439,-10.443989,4000
155458600,0.015485072,0.08648292,-0.031737074,4000,0,0.20675944,0.114494234,-9.53525,4000
155462600,0.038721487,-0.017431708,-0.03481038,4000,0,0.07043143,-0.2256278,-9.877319,4000
155466601,-0.03956536,-0.028141307,-0.049575936,4001,0,-0.7062474,0.8784111,-9.980547,4001
155470600,0.054392688,0.01931739,-0.053008106,3999,0,-0.5597229,0.30347675,-9.645507,3999
155474602,0.005893873,0.051789917,-0.03792921,4002,0,0.009330721,0.29089358,-9.329913,4002
155478602,0.02045305,-0.021220567,-0.026260868,4000,0,-0.056865674,0.025545204,-9.947218,4000
155482600,-0.03565208,-0.028254436,-0.02176651,3998,0,-0.43611896,1.4202187,-10.178594,3998
155486600,0.036965646,0.021746807,-0.007668943,4000,0,-0.5655622,-0.1597584,-10.503995,4000
155490600,0.010361052,0.02383717,0.002548952,4000,0,0.13258152,0.89750946,-10.015378,4000
155494600,-0.014474393,-0.034760572,0.0039064796,4000,0,-0.1408651,0.23592149,-9.703838,4000
155498600,-0.025060765,-0.026422856,0.0031480384,4000,0,-0.15442112,1.2380277,-9.236335,4000
155502600,-0.013252346,0.011247369,0.023014607,4000,0,-0.5812892,0.11397677,-10.192859,4000
155506600,0.0011533868,0.015962511,0.031895004,4000,0,0.15258847,0.15094918,-9.781725,4000
155510601,-0.034193434,-0.04787891,0.036328338,4001,0,-0.2943005,0.7084419,-9.843829,4001
155514601,-0.026389418,-0.008477153,0.032305032,4000,0,-0.58040076,0.16653214,-10.228783,4000
155518599,0.029890357,0.015529226,0.038474493,3998,0,-0.10572857,0.3735084,-10.135893,3998
155522601,-0.011272327,-0.00627753,0.024387779,4002,0,-0.017543666,0.32469732,-9.409871,4002
155526600,-0.004369307,-0.0048166686,0.011470621,3999,0,-0.36633518,0.20925657,-9.569453,3999
155530600,-0.012208107,-0.0051123737,0.016833993,4000,0,-0.09627976,-0.041863523,-9.882787,4000
155534600,0.017011637,-0.001724429,0.009780213,4000,0,-0.6329051,0.23971379,-10.246319,4000
155538600,-0.0014656495,0.007018911,0.0024870283,4000,0,0.0733467,0.4153852,-9.794126,4000
155542599,0.0028326062,0.007095075,-0.005599474,3999,0,-0.16586101,-0.26087132,-9.851393,3999
155546601,0.030453732,-0.015989834,-0.015808882,4002,0,-0.0720422,0.6097018,-10.162141,4002
155550600,-0.009756306,0.011239076,-0.021962885,3999,0,-0.15392317,0.97647214,-9.811072,3999
155554601,0.019286884,0.018484747,-0.037962895,4001,0,0.14444226,-0.24923263,-9.412148,4001
