timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
275409646,0.07568358,0.03022056,0.41916084
275432693,0.078666136,0.03022056,0.42854935
275454728,0.07568358,0.03022056,0.42854935
275477315,0.078666136,0.03022056,0.42541984
275499646,0.07568358,0.03022056,0.42229035
275521648,0.078666136,0.027294962,0.42854935
275543650,0.07568358,0.027294962,0.42541984
275565687,0.07270102,0.027294962,0.42229035
275588646,0.07270102,0.027294962,0.41916084
275610682,0.07568358,0.03022056,0.4160313
275633639,0.06971847,0.03022056,0.41916084
275655639,0.07270102,0.03022056,0.41916084
275677646,0.07270102,0.03022056,0.4160313
275700646,0.07568358,0.027294962,0.42854935
275722686,0.07568358,0.027294962,0.41916084
275746714,0.07568358,0.027294962,0.4316789
275767639,0.07568358,0.027294962,0.42541984
275789645,0.07568358,0.027294962,0.42541984
275811726,0.07568358,0.03022056,0.4316789
275834720,0.07568358,0.036071755,0.42854935
275857641,0.07568358,0.033146154,0.42541984
275879640,0.07568358,0.036071755,0.42541984
275900640,0.07568358,0.033146154,0.4316789
275922682,0.07568358,0.033146154,0.42541984
275945637,0.07568358,0.03022056,0.42229035
275967676,0.07568358,0.024369365,0.42854935
275989646,0.07568358,0.024369365,0.42229035
276012648,0.0816487,0.024369365,0.42854935
276034722,0.07568358,0.02144377,0.42854935
276057689,0.06971847,0.018518172,0.4316789
276081639,0.078666136,0.009741381,0.4348084
276103640,0.07270102,0.0068157837,0.42854935
276125647,0.07568358,0.0009645897,0.44419694
276148645,0.07270102,-0.0019610072,0.4316789
276170639,0.06971847,-0.0048866044,0.4316789
276193646,0.06971847,-0.007812201,0.4348084
276215639,0.07270102,-0.013663395,0.44419694
276237647,0.06971847,-0.016588992,0.4348084
276260648,0.07270102,-0.022440186,0.44106743
276282740,0.066735916,-0.02829138,0.44732645
276306731,0.066735916,-0.02829138,0.44106743
276329648,0.066735916,-0.034142572,0.44419694
276351639,0.066735916,-0.037068173,0.44106743
276373641,0.07270102,-0.042919364,0.45045593
276395646,0.06971847,-0.04584496,0.4379379
276417646,0.07568358,-0.04584496,0.4379379
276439708,0.07270102,-0.048770558,0.44732645
276459652,0.06971847,-0.04584496,0.44106743
276481649,0.06971847,-0.04584496,0.44419694
276503120,0.06971847,-0.048770558,0.44419694
276523672,0.06375336,-0.048770558,0.44419694
276545694,0.066735916,-0.04584496,0.44732645
276567131,0.06971847,-0.042919364,0.44419694
276591071,0.07270102,-0.039993767,0.44419694
276615092,0.078666136,-0.034142572,0.44419694
276639126,0.0816487,-0.034142572,0.44732645
276663076,0.0816487,-0.031216977,0.4379379
276685690,0.08463126,-0.031216977,0.4379379
276708687,0.08463126,-0.034142572,0.4379379
276731876,0.09059636,-0.031216977,0.44106743
276753647,0.08463126,-0.031216977,0.4348084
276775646,0.0816487,-0.031216977,0.4316789
276799648,0.078666136,-0.031216977,0.44419694
276819675,0.07568358,-0.031216977,0.4348084
276841638,0.07568358,-0.031216977,0.4379379
276864572,0.07270102,-0.034142572,0.4379379
276887725,0.07568358,-0.037068173,0.44419694
276911695,0.078666136,-0.037068173,0.4379379
276935102,0.0816487,-0.037068173,0.44732645
276959702,0.0816487,-0.034142572,0.44732645
276983702,0.0816487,-0.034142572,0.44419694
277007648,0.07568358,-0.034142572,0.4316789
277027652,0.07568358,-0.031216977,0.44106743
277049645,0.07568358,-0.031216977,0.44419694
277071913,0.07568358,-0.031216977,0.4379379
277095051,0.07568358,-0.034142572,0.44106743
277119647,0.07270102,-0.031216977,0.44106743
277143683,0.07270102,-0.034142572,0.4348084
277167140,0.07270102,-0.037068173,0.44106743
277191639,0.06971847,-0.037068173,0.4379379
277215144,0.06971847,-0.037068173,0.4379379
277239046,0.06971847,-0.039993767,0.44106743
277263113,0.066735916,-0.037068173,0.44106743
277287119,0.066735916,-0.039993767,0.45045593
277311073,0.066735916,-0.042919364,0.44732645
277335072,0.06971847,-0.042919364,0.45045593
277355651,0.066735916,-0.04584496,0.44732645
277377648,0.066735916,-0.048770558,0.4348084
277399647,0.066735916,-0.05169616,0.4316789
277423046,0.06375336,-0.05754735,0.4379379
277447655,0.066735916,-0.06339855,0.44106743
277471965,0.066735916,-0.06924974,0.45045593
277495917,0.06375336,-0.07510093,0.44732645
277519837,0.06375336,-0.07510093,0.44732645
277543849,0.06375336,-0.08095213,0.44419694
277567945,0.066735916,-0.08680332,0.44419694
277592019,0.06375336,-0.09265451,0.44106743
277616037,0.066735916,-0.095580116,0.44732645
